country,year,item,r,n,survey,cc_rank,y_claassen
Mexico,1998,threestate_lb,3,608.0299684,lb1998,313,NA
Mexico,2000,army_wvs,1,369.0089001,wvs_combo,313,NA
Mexico,2000,army_wvs,2,358.5026465,wvs_combo,313,NA
Mexico,2000,army_wvs,3,500.3550483,wvs_combo,313,NA
Mexico,2000,army_wvs,4,308.6886944,wvs_combo,313,NA
Mexico,2000,church_wvs,1,399.4980241,wvs_combo,313,NA
Mexico,2000,church_wvs,2,180.4620605,wvs_combo,313,NA
Mexico,2000,church_wvs,3,635.0867559,wvs_combo,313,NA
Mexico,2000,church_wvs,4,321.5084489,wvs_combo,313,NA
Mexico,2000,evdemoc_wvs,1,312.1487948,wvs_combo,313,NA
Mexico,2000,evdemoc_wvs,2,140.3026946,wvs_combo,313,NA
Mexico,2000,evdemoc_wvs,3,733.1536405,wvs_combo,313,NA
Mexico,2000,evdemoc_wvs,4,350.9501594,wvs_combo,313,NA
Mexico,2000,strong_wvs,1,474.7351342,wvs_combo,313,NA
Mexico,2000,strong_wvs,2,528.0642341,wvs_combo,313,NA
Mexico,2000,strong_wvs,3,358.0191395,wvs_combo,313,NA
Mexico,2000,strong_wvs,4,175.7367816,wvs_combo,313,NA
Mexico,2000,threestate_lb,1,420.0720306,lb2000,313,NA
Mexico,2000,threestate_lb,2,221.0379018,lb2000,313,NA
Mexico,2000,threestate_lb,3,525.0900383,lb2000,313,NA
Mexico,2001,threestate_lb,1,493.95477,lb2001,313,NA
Mexico,2001,threestate_lb,2,178.4565855,lb2001,313,NA
Mexico,2001,threestate_lb,3,581.9181657,lb2001,313,NA
Mexico,2002,church_lb,1,107.8951872,lb2002,313,NA
Mexico,2002,church_lb,2,243.857964,lb2002,313,NA
Mexico,2002,church_lb,3,606.9465721,lb2002,313,NA
Mexico,2002,church_lb,4,255.2353673,lb2002,313,NA
Mexico,2002,impdemoc_pew,1,31.66404487,pew2002,313,NA
Mexico,2002,impdemoc_pew,2,51.39382773,pew2002,313,NA
